year,state,month,date,number
1998,Acre,Janeiro,01/01/1998,0
1999,Acre,Janeiro,01/01/1999,0
2000,Acre,Janeiro,01/01/2000,0
2001,Acre,Janeiro,01/01/2001,0
2002,Acre,Janeiro,01/01/2002,0
2003,Acre,Janeiro,01/01/2003,10
2004,Acre,Janeiro,01/01/2004,0
2005,Acre,Janeiro,01/01/2005,12
2006,Acre,Janeiro,01/01/2006,4
2007,Acre,Janeiro,01/01/2007,0
2008,Acre,Janeiro,01/01/2008,0
2009,Acre,Janeiro,01/01/2009,0
2010,Acre,Janeiro,01/01/2010,1
2011,Acre,Janeiro,01/01/2011,0
2012,Acre,Janeiro,01/01/2012,0
2013,Acre,Janeiro,01/01/2013,0
2014,Acre,Janeiro,01/01/2014,0
2015,Acre,Janeiro,01/01/2015,1
2016,Acre,Janeiro,01/01/2016,12
2017,Acre,Janeiro,01/01/2017,0
1998,Acre,Fevereiro,01/01/1998,0
1999,Acre,Fevereiro,01/01/1999,0
2000,Acre,Fevereiro,01/01/2000,0
2001,Acre,Fevereiro,01/01/2001,0
2002,Acre,Fevereiro,01/01/2002,1
2003,Acre,Fevereiro,01/01/2003,0
2004,Acre,Fevereiro,01/01/2004,3
2005,Acre,Fevereiro,01/01/2005,0
2006,Acre,Fevereiro,01/01/2006,0
2007,Acre,Fevereiro,01/01/2007,5
2008,Acre,Fevereiro,01/01/2008,0
2009,Acre,Fevereiro,01/01/2009,2
2010,Acre,Fevereiro,01/01/2010,0
2011,Acre,Fevereiro,01/01/2011,0
2012,Acre,Fevereiro,01/01/2012,0
2013,Acre,Fevereiro,01/01/2013,0
2014,Acre,Fevereiro,01/01/2014,0
2015,Acre,Fevereiro,01/01/2015,2
2016,Acre,Fevereiro,01/01/2016,5
2017,Acre,Fevereiro,01/01/2017,1
1998,Acre,Março,01/01/1998,0
1999,Acre,Março,01/01/1999,0
2000,Acre,Março,01/01/2000,11
2001,Acre,Março,01/01/2001,0
2002,Acre,Março,01/01/2002,0
2003,Acre,Março,01/01/2003,0
2004,Acre,Março,01/01/2004,0
2005,Acre,Março,01/01/2005,3
2006,Acre,Março,01/01/2006,0
2007,Acre,Março,01/01/2007,2
2008,Acre,Março,01/01/2008,0
2009,Acre,Março,01/01/2009,1
2010,Acre,Março,01/01/2010,0
2011,Acre,Março,01/01/2011,0
2012,Acre,Março,01/01/2012,1
2013,Acre,Março,01/01/2013,2
2014,Acre,Março,01/01/2014,1
2015,Acre,Março,01/01/2015,2
2016,Acre,Março,01/01/2016,0
2017,Acre,Março,01/01/2017,0
1998,Acre,Abril,01/01/1998,0
1999,Acre,Abril,01/01/1999,0
2000,Acre,Abril,01/01/2000,1
2001,Acre,Abril,01/01/2001,0
2002,Acre,Abril,01/01/2002,0
2003,Acre,Abril,01/01/2003,1
2004,Acre,Abril,01/01/2004,2
2005,Acre,Abril,01/01/2005,1
2006,Acre,Abril,01/01/2006,0
2007,Acre,Abril,01/01/2007,0
